competitor,type,keyword,position,previous_position,delta,rating,reviews,previous_reviews
La Fée Dymotite,gbp,cours de couture castres,1,2,1,5,23,23
Déco Couture,gbp,cours de couture castres,2,1,-1,4.9,20,20
Créa'Isi,gbp,cours de couture revel,1,1,0,5,31,31
Atelier Artéli,gbp,cours de couture revel,8,9,1,5,3,3
atelierarteli.fr,organic,cours de couture revel,5,7,2,,,
latelierdescousettes.fr,organic,cours de couture revel,,14,,,,
