keyword,page,position,previous_position,delta,clicks,impressions,ctr,search_volume,status
cousette,https://atelier-des-cousettes.fr/,5.5,4.7,-0.8,0,65,0.0%,6600,lost
couturiere revel,https://atelier-des-cousettes.fr/,7.5,6.7,-0.8,1,30,3.3%,,lost
atelier couture,https://atelier-des-cousettes.fr/,14.7,15.9,1.2,0,27,0.0%,,gained
couturiere castres,https://atelier-des-cousettes.fr/,1.7,1.9,0.2,0,11,0.0%,390,flat
cours de couture autour de moi,https://atelier-des-cousettes.fr/,6.8,7.5,0.7,0,25,0.0%,,gained
couture,https://atelier-des-cousettes.fr/,1,1,0,0,3,0.0%,,flat
poser une fermeture éclair sur une trousse,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,16.5,22.3,5.8,0,6,0.0%,,gained
atelier de couture,https://atelier-des-cousettes.fr/,13.6,12.6,-1.0,0,15,0.0%,3600,lost
trousse fermeture éclair 20 cm,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,10.9,12.8,1.9,1,35,2.9%,,gained
couturière revel,,,,,0,0,,,dropped
cours de couture,https://atelier-des-cousettes.fr/,15.1,11,-4.1,0,10,0.0%,2900,lost
couturière indépendante,,,,,0,0,,,dropped
trousse fermeture éclair,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,13.5,,,0,2,0.0%,,new
studio de couture,https://atelier-des-cousettes.fr/,7.5,6,-1.5,0,4,0.0%,,lost
stage couture,,,,,0,0,,,dropped
cours de couture castres,https://atelier-des-cousettes.fr/,4.8,,,3,5,60.0%,20,new
cours de couture revel,,,,,0,0,,,dropped
cours de couture tarn,,,,,0,0,,10,dropped
l'atelier des cousettes,https://atelier-des-cousettes.fr/ateliers-reguliers/,10.5,6,-4.5,0,24,0.0%,,lost
atelier de couture et bordure,https://atelier-des-cousettes.fr/,23.1,33.8,10.7,0,14,0.0%,,gained
cours couture,https://atelier-des-cousettes.fr/,16.8,24,7.2,0,8,0.0%,,gained
tuto trousse facile avec fermeture éclair,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,32,38,6,0,6,0.0%,,gained
coudre une trousse de toilette doublã©e avec fermeture ã©clair,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,21.6,26,4.4,0,5,0.0%,,gained
couturière autour de moi,https://atelier-des-cousettes.fr/,3.4,3.4,0.0,0,5,0.0%,,flat
couturiere autour de moi,https://atelier-des-cousettes.fr/,1.5,1.7,0.2,0,4,0.0%,,flat
entreprise de couture,https://atelier-des-cousettes.fr/,14,15,1,0,4,0.0%,,gained
tuto trousse avec fermeture éclair 20 cm,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,17,20,3,0,4,0.0%,,gained
ateliers de couture,https://atelier-des-cousettes.fr/,8.7,8.7,0.0,0,3,0.0%,,flat
