competitor,type,keyword,position,previous_position,delta,rating,reviews,previous_reviews
La Fée Dymotite,gbp,cours de couture castres,1,1,0,5,23,23
Déco Couture,gbp,cours de couture castres,2,2,0,4.9,20,20
L'Atelier des Cousettes,gbp,cours de couture castres,,8,,5,,6
Créa'Isi,gbp,cours de couture revel,1,1,0,5,31,31
Atelier Artéli,gbp,cours de couture revel,9,8,-1,5,3,3
L'Atelier des Cousettes,gbp,cours de couture revel,7,7,0,5,6,6
atelierarteli.fr,organic,cours de couture revel,6,5,-1,,,
latelierdescousettes.fr,organic,cours de couture revel,13,,,,,
atelierdecouture.fr,organic,cours de couture revel,14,,,,,
