keyword,page,position,previous_position,delta,clicks,impressions,ctr,search_volume,status
cousette,https://atelier-des-cousettes.fr/,5.5,6.0,0.5,0,65,0.0%,6600,gained
trousse fermeture éclair 20 cm,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,10.9,8.9,-2,1,35,2.9%,,lost
couturiere revel,https://atelier-des-cousettes.fr/,7.5,8.2,0.7,1,30,3.3%,50,gained
atelier couture,https://atelier-des-cousettes.fr/,14.7,13.0,-1.7,0,27,0.0%,3600,lost
cours de couture autour de moi,https://atelier-des-cousettes.fr/,6.8,9.3,2.5,0,25,0.0%,1300,gained
l'atelier des cousettes,https://atelier-des-cousettes.fr/ateliers-reguliers/,10.5,,,0,24,0.0%,140,new
atelier de couture,https://atelier-des-cousettes.fr/,13.6,12.2,-1.4,0,15,0.0%,2900,lost
atelier de couture et bordure,https://atelier-des-cousettes.fr/,23.1,,,0,14,0.0%,,new
couturiere castres,https://atelier-des-cousettes.fr/,1.7,3.4,1.7,0,11,0.0%,390,gained
cours de couture,https://atelier-des-cousettes.fr/,15.1,9.7,-5.4,0,10,0.0%,2900,lost
cours couture,https://atelier-des-cousettes.fr/,16.8,,,0,8,0.0%,880,new
poser une fermeture éclair sur une trousse,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,16.5,8.1,-8.4,0,6,0.0%,70,lost
cours de couture castres,https://atelier-des-cousettes.fr/,4.8,,,3,5,60.0%,20,new
studio de couture,https://atelier-des-cousettes.fr/,7.5,7.6,0.1,0,4,0.0%,10,flat
entreprise de couture,https://atelier-des-cousettes.fr/,14.0,,,0,4,0.0%,390,new
endroit contre endroit,https://atelier-des-cousettes.fr/glossaire/endroit-contre-endroit/,6.0,,,0,4,0.0%,,new
couture,https://atelier-des-cousettes.fr/,1.0,12.7,11.7,0,3,0.0%,40500,gained
mercerie,https://atelier-des-cousettes.fr/,6.3,,,0,3,0.0%,,new
ateliers de couture,https://atelier-des-cousettes.fr/,8.7,,,0,3,0.0%,,new
trousse fermeture éclair,https://atelier-des-cousettes.fr/blog/coudre-trousse-fermeture-eclair/,13.5,9.8,-3.7,0,2,0.0%,110,lost
couturière revel,,,10.4,,0,0,,,dropped
couturière indépendante,,,6.7,,0,0,,,dropped
stage couture,,,11.3,,0,0,,390,dropped
cours de couture revel,,,1.0,,0,0,,,dropped
cours de couture tarn,,,,0,0,0,,10,flat
